id,nombre,slug,categoria_id,categoria,precio_total,precio_por_unidad,unidad_medida,iva,empaque,disponible,url
66485,Cerveza Suave Steinburg,cerveza-suave-steinburg-pack-12,19,Bodega,0.97,3.84,l,21.000,Pack-12,True,https://tienda.mercadona.es/product/66485/cerveza-suave-steinburg-pack-12
66486,Cerveza Suave Steinburg,cerveza-suave-steinburg-lata,19,Bodega,0.97,0.32,l,21.000,Lata,True,https://tienda.mercadona.es/product/66486/cerveza-suave-steinburg-lata
66026,Cerveza especial San Miguel,cerveza-especial-san-miguel-pack-12,19,Bodega,1.52,6.0,l,21.000,Pack-12,True,https://tienda.mercadona.es/product/66026/cerveza-especial-san-miguel-pack-12
27103,Cerveza especial San Miguel,cerveza-especial-san-miguel-lata,19,Bodega,2.24,0.74,l,21.000,Lata,True,https://tienda.mercadona.es/product/27103/cerveza-especial-san-miguel-lata
12033,Cerveza especial Steinburg,cerveza-especial-steinburg,19,Bodega,1.06,4.2,l,21.000,,True,https://tienda.mercadona.es/product/12033/cerveza-especial-steinburg
9826,Cerveza especial Mahou,cerveza-especial-mahou,19,Bodega,2.55,8.4,l,21.000,,True,https://tienda.mercadona.es/product/9826/cerveza-especial-mahou
27136,Cerveza especial Mahou,cerveza-especial-mahou-lata,19,Bodega,2.7,0.89,l,21.000,Lata,True,https://tienda.mercadona.es/product/27136/cerveza-especial-mahou-lata
66027,Cerveza clásica Mahou,cerveza-clasica-mahou-pack-12,19,Bodega,1.76,6.96,l,21.000,Pack-12,True,https://tienda.mercadona.es/product/66027/cerveza-clasica-mahou-pack-12
27178,Cerveza clásica Mahou,cerveza-clasica-mahou-lata,19,Bodega,2.48,0.82,l,21.000,Lata,True,https://tienda.mercadona.es/product/27178/cerveza-clasica-mahou-lata
12036,Cerveza especial Steinburg,cerveza-especial-steinburg-lata,19,Bodega,1.06,0.35,l,21.000,Lata,True,https://tienda.mercadona.es/product/12036/cerveza-especial-steinburg-lata
66432,Cerveza doble malta 1897,cerveza-doble-malta-pack-6,19,Bodega,1.61,3.18,l,21.000,,True,https://tienda.mercadona.es/product/66432/cerveza-doble-malta-pack-6
66433,Cerveza doble malta 1897,cerveza-doble-malta-lata,19,Bodega,1.61,0.53,l,21.000,Lata,True,https://tienda.mercadona.es/product/66433/cerveza-doble-malta-lata
66586,Cerveza especial Estrella Galicia,cerveza-especial-estrella-galicia-pack-10,19,Bodega,2.3,7.6,l,21.000,Pack-10,True,https://tienda.mercadona.es/product/66586/cerveza-especial-estrella-galicia-pack-10
27357,Cerveza especial Estrella Galicia,cerveza-especial-estrella-galicia-lata,19,Bodega,2.82,0.93,l,21.000,Lata,True,https://tienda.mercadona.es/product/27357/cerveza-especial-estrella-galicia-lata
86311,Cerveza especial sin gluten Falke,cerveza-especial-sin-gluten-falke-pack-8,19,Bodega,1.67,4.4,l,21.000,,True,https://tienda.mercadona.es/product/86311/cerveza-especial-sin-gluten-falke-pack-8
60600,Cerveza tostada Turia,cerveza-tostada-turia-pack-12,19,Bodega,2.55,10.08,l,21.000,,True,https://tienda.mercadona.es/product/60600/cerveza-tostada-turia-pack-12
60980,Cerveza tostada Turia,cerveza-tostada-turia-lata,19,Bodega,2.7,0.89,l,21.000,Lata,True,https://tienda.mercadona.es/product/60980/cerveza-tostada-turia-lata
86312,Cerveza especial sin gluten Falke,cerveza-especial-sin-gluten-falke-lata,19,Bodega,1.67,0.55,l,21.000,Lata,True,https://tienda.mercadona.es/product/86312/cerveza-especial-sin-gluten-falke-lata
14988,Cerveza negra Ambar,cerveza-negra-ambar,19,Bodega,3.03,6.0,l,21.000,,True,https://tienda.mercadona.es/product/14988/cerveza-negra-ambar
66469,Cerveza Pils Krombacher,cerveza-pils-krombacher-pack-6,19,Bodega,1.97,3.9,l,21.000,Pack-6,True,https://tienda.mercadona.es/product/66469/cerveza-pils-krombacher-pack-6
66470,Cerveza Pils Krombacher,cerveza-pils-krombacher-lata,19,Bodega,1.97,0.65,l,21.000,Lata,True,https://tienda.mercadona.es/product/66470/cerveza-pils-krombacher-lata
86315,Cerveza tostada 1897,cerveza-tostada-1897-pack-6,19,Bodega,1.52,3.0,l,21.000,Pack-6,True,https://tienda.mercadona.es/product/86315/cerveza-tostada-1897-pack-6
86316,Cerveza tostada 1897,cerveza-tostada-1897-lata,19,Bodega,1.52,0.5,l,21.000,Lata,True,https://tienda.mercadona.es/product/86316/cerveza-tostada-1897-lata
14989,Cerveza negra Ambar,cerveza-negra-ambar-lata,19,Bodega,3.03,1.0,l,21.000,Lata,True,https://tienda.mercadona.es/product/14989/cerveza-negra-ambar-lata
66465,Cerveza Clásica Steinburg,cerveza-clasica-steinburg-pack-6,19,Bodega,0.95,5.7,l,21.000,Pack-6,True,https://tienda.mercadona.es/product/66465/cerveza-clasica-steinburg-pack-6
66466,Cerveza Clásica Steinburg,cerveza-clasica-steinburg-botella,19,Bodega,0.95,0.95,l,21.000,Botella,True,https://tienda.mercadona.es/product/66466/cerveza-clasica-steinburg-botella
66783,Cerveza Radler Steinburg con zumo natural de limón,cerveza-radler-con-zumo-natural-limon-steinburg-pack-12,19,Bodega,1.24,4.92,l,21.000,,True,https://tienda.mercadona.es/product/66783/cerveza-radler-con-zumo-natural-limon-steinburg-pack-12
66554,Cerveza Radler Steinburg con zumo natural de limón,cerveza-radler-con-zumo-natural-limon-steinburg-lata,19,Bodega,1.24,0.41,l,21.000,Lata,True,https://tienda.mercadona.es/product/66554/cerveza-radler-con-zumo-natural-limon-steinburg-lata
